"  DateTime","Temp.[C]"
"2020/9/21 9:22:21","+26.6365"
"2020/9/21 9:22:41","+26.6365"
"2020/9/21 9:23:01","+26.6365"
"2020/9/21 9:23:21","+26.6365"
"2020/9/21 9:23:41","+26.6365"
"2020/9/21 9:24:01","+26.6365"
"2020/9/21 9:24:21","+26.5740"
"2020/9/21 9:24:41","+26.5740"
"2020/9/21 9:25:01","+26.5740"
"2020/9/21 9:25:21","+26.5740"
"2020/9/21 9:25:41","+26.5740"
"2020/9/21 9:26:01","+26.5740"
"2020/9/21 9:26:21","+26.5740"
"2020/9/21 9:26:41","+26.5115"
"2020/9/21 9:27:01","+26.5115"
"2020/9/21 9:27:21","+26.5115"
"2020/9/21 9:27:41","+26.5115"
"2020/9/21 9:28:01","+26.5115"
"2020/9/21 9:28:21","+26.5115"
"2020/9/21 9:28:41","+26.5115"
"2020/9/21 9:29:01","+26.5115"
"2020/9/21 9:29:21","+26.5115"
"2020/9/21 9:29:41","+26.5115"
"2020/9/21 9:30:01","+26.5115"
"2020/9/21 9:30:21","+26.5115"
"2020/9/21 9:30:41","+26.4491"
"2020/9/21 9:31:01","+26.4491"
"2020/9/21 9:31:21","+26.4491"
"2020/9/21 9:31:41","+26.4491"
"2020/9/21 9:32:01","+26.4491"
"2020/9/21 9:32:21","+26.4491"
"2020/9/21 9:32:41","+26.4491"
"2020/9/21 9:33:01","+26.4491"
"2020/9/21 9:33:21","+26.4491"
"2020/9/21 9:33:41","+26.4491"
"2020/9/21 9:34:01","+26.4491"
"2020/9/21 9:34:21","+26.4491"
"2020/9/21 9:34:41","+26.4491"
"2020/9/21 9:35:01","+26.4491"
"2020/9/21 9:35:21","+26.3866"
"2020/9/21 9:35:41","+26.3866"
"2020/9/21 9:36:01","+26.3866"
"2020/9/21 9:36:21","+26.3866"
"2020/9/21 9:36:41","+26.3866"
"2020/9/21 9:37:01","+26.3866"
"2020/9/21 9:37:21","+26.3866"
"2020/9/21 9:37:41","+26.3866"
"2020/9/21 9:38:01","+26.3866"
"2020/9/21 9:38:21","+26.3866"
"2020/9/21 9:38:41","+26.3866"
"2020/9/21 9:39:01","+26.3866"
"2020/9/21 9:39:21","+26.3866"
"2020/9/21 9:39:41","+26.3866"
"2020/9/21 9:40:01","+26.3866"
"2020/9/21 9:40:21","+26.3866"
"2020/9/21 9:40:41","+26.3866"
"2020/9/21 9:41:01","+26.3866"
"2020/9/21 9:41:21","+26.3866"
"2020/9/21 9:41:41","+26.3866"
"2020/9/21 9:42:01","+26.3241"
"2020/9/21 9:42:21","+26.3866"
"2020/9/21 9:42:41","+26.3866"
"2020/9/21 9:43:01","+26.3241"
"2020/9/21 9:43:21","+26.3241"
"2020/9/21 9:43:41","+26.3241"
"2020/9/21 9:44:01","+26.3241"
"2020/9/21 9:44:21","+26.3241"
"2020/9/21 9:44:41","+26.3241"
"2020/9/21 9:45:01","+26.3241"
"2020/9/21 9:45:21","+26.3241"
"2020/9/21 9:45:41","+26.3241"
"2020/9/21 9:46:01","+26.3241"
"2020/9/21 9:46:21","+26.3241"
"2020/9/21 9:46:41","+26.3241"
"2020/9/21 9:47:01","+26.3241"
"2020/9/21 9:47:21","+26.3241"
"2020/9/21 9:47:41","+26.3241"
"2020/9/21 9:48:01","+26.3241"
"2020/9/21 9:48:21","+26.3241"
"2020/9/21 9:48:41","+26.3241"
"2020/9/21 9:49:01","+26.3241"
"2020/9/21 9:49:21","+26.3241"
"2020/9/21 9:49:41","+26.3241"
"2020/9/21 9:50:01","+26.3241"
"2020/9/21 9:50:21","+26.3241"
"2020/9/21 9:50:41","+26.3241"
"2020/9/21 9:51:01","+26.3241"
"2020/9/21 9:51:21","+26.3241"
"2020/9/21 9:51:41","+26.3241"
"2020/9/21 9:52:01","+26.3241"
"2020/9/21 9:52:21","+26.3241"
"2020/9/21 9:52:41","+26.3241"
"2020/9/21 9:53:01","+26.3241"
"2020/9/21 9:53:21","+26.3241"
"2020/9/21 9:53:41","+26.2616"
"2020/9/21 9:54:01","+26.3241"
"2020/9/21 9:54:21","+26.3241"
"2020/9/21 9:54:41","+26.3241"
"2020/9/21 9:55:01","+26.2616"
"2020/9/21 9:55:21","+26.2616"
"2020/9/21 9:55:41","+26.2616"
"2020/9/21 9:56:01","+26.2616"
"2020/9/21 9:56:21","+26.2616"
"2020/9/21 9:56:41","+26.2616"
"2020/9/21 9:57:01","+26.2616"
"2020/9/21 9:57:21","+26.2616"
"2020/9/21 9:57:41","+26.2616"
"2020/9/21 9:58:01","+26.2616"
"2020/9/21 9:58:21","+26.2616"
"2020/9/21 9:58:41","+26.2616"
"2020/9/21 9:59:01","+26.2616"
"2020/9/21 9:59:21","+26.2616"
"2020/9/21 9:59:41","+26.2616"
"2020/9/21 10:00:01","+26.2616"
"2020/9/21 10:00:21","+26.2616"
"2020/9/21 10:00:41","+26.2616"
"2020/9/21 10:01:01","+26.2616"
"2020/9/21 10:01:21","+26.2616"
"2020/9/21 10:01:41","+26.2616"
"2020/9/21 10:02:01","+26.2616"
"2020/9/21 10:02:21","+26.2616"
"2020/9/21 10:02:41","+26.2616"
"2020/9/21 10:03:01","+26.2616"
"2020/9/21 10:03:21","+26.2616"
"2020/9/21 10:03:41","+26.2616"
"2020/9/21 10:04:01","+26.2616"
"2020/9/21 10:04:21","+26.2616"
"2020/9/21 10:04:41","+26.2616"
"2020/9/21 10:05:01","+26.2616"
"2020/9/21 10:05:21","+26.2616"
"2020/9/21 10:05:41","+26.2616"
"2020/9/21 10:06:01","+26.2616"
"2020/9/21 10:06:21","+26.2616"
"2020/9/21 10:06:41","+26.2616"
"2020/9/21 10:07:01","+26.2616"
"2020/9/21 10:07:21","+26.2616"
"2020/9/21 10:07:41","+26.2616"
"2020/9/21 10:08:01","+26.2616"
"2020/9/21 10:08:21","+26.2616"
"2020/9/21 10:08:41","+26.2616"
"2020/9/21 10:09:01","+26.2616"
"2020/9/21 10:09:21","+26.2616"
"2020/9/21 10:09:41","+26.2616"
"2020/9/21 10:10:01","+26.2616"
"2020/9/21 10:10:21","+26.2616"
"2020/9/21 10:10:41","+26.2616"
"2020/9/21 10:11:01","+26.2616"
"2020/9/21 10:11:21","+26.2616"
"2020/9/21 10:11:41","+26.2616"
"2020/9/21 10:12:01","+26.2616"
"2020/9/21 10:12:21","+26.2616"
"2020/9/21 10:12:41","+26.2616"
"2020/9/21 10:13:01","+26.2616"
"2020/9/21 10:13:21","+26.2616"
"2020/9/21 10:13:41","+26.2616"
"2020/9/21 10:14:01","+26.2616"
"2020/9/21 10:14:21","+26.2616"
"2020/9/21 10:14:41","+26.2616"
"2020/9/21 10:15:01","+26.2616"
"2020/9/21 10:15:21","+26.2616"
"2020/9/21 10:15:41","+26.2616"
"2020/9/21 10:16:01","+26.2616"
"2020/9/21 10:16:21","+26.2616"
"2020/9/21 10:16:41","+26.2616"
"2020/9/21 10:17:01","+26.2616"
"2020/9/21 10:17:21","+26.2616"
"2020/9/21 10:17:41","+26.2616"
"2020/9/21 10:18:01","+26.2616"
"2020/9/21 10:18:21","+26.2616"
"2020/9/21 10:18:41","+26.2616"
"2020/9/21 10:19:01","+26.2616"
"2020/9/21 10:19:21","+26.2616"
"2020/9/21 10:19:41","+26.2616"
"2020/9/21 10:20:01","+26.2616"
"2020/9/21 10:20:21","+26.2616"
"2020/9/21 10:20:41","+26.2616"
"2020/9/21 10:21:01","+26.2616"
"2020/9/21 10:21:21","+26.2616"
"2020/9/21 10:21:41","+26.2616"
"2020/9/21 10:22:01","+26.2616"
"2020/9/21 10:22:21","+26.2616"
"2020/9/21 10:22:41","+26.2616"
"2020/9/21 10:23:01","+26.2616"
"2020/9/21 10:23:21","+26.2616"
"2020/9/21 10:23:41","+26.2616"
"2020/9/21 10:24:01","+26.2616"
"2020/9/21 10:24:21","+26.2616"
"2020/9/21 10:24:41","+26.2616"
"2020/9/21 10:25:01","+26.2616"
"2020/9/21 10:25:21","+26.2616"
"2020/9/21 10:25:41","+26.2616"
"2020/9/21 10:26:01","+26.2616"
"2020/9/21 10:26:21","+26.2616"
"2020/9/21 10:26:41","+26.2616"
"2020/9/21 10:27:01","+26.2616"
"2020/9/21 10:27:21","+26.2616"
"2020/9/21 10:27:41","+26.2616"
"2020/9/21 10:28:01","+26.2616"
"2020/9/21 10:28:21","+26.2616"
"2020/9/21 10:28:41","+26.2616"
"2020/9/21 10:29:01","+26.2616"
"2020/9/21 10:29:21","+26.2616"
"2020/9/21 10:29:41","+26.2616"
"2020/9/21 10:30:01","+26.2616"
"2020/9/21 10:30:21","+26.2616"
"2020/9/21 10:30:41","+26.2616"
"2020/9/21 10:31:01","+26.2616"
"2020/9/21 10:31:21","+26.2616"
"2020/9/21 10:31:41","+26.2616"
"2020/9/21 10:32:01","+26.2616"
"2020/9/21 10:32:21","+26.2616"
"2020/9/21 10:32:41","+26.2616"
"2020/9/21 10:33:01","+26.2616"
"2020/9/21 10:33:21","+26.2616"
"2020/9/21 10:33:41","+26.2616"
"2020/9/21 10:34:01","+26.2616"
"2020/9/21 10:34:21","+26.2616"
"2020/9/21 10:34:41","+26.2616"
"2020/9/21 10:35:01","+26.2616"
"2020/9/21 10:35:21","+26.2616"
"2020/9/21 10:35:41","+26.2616"
"2020/9/21 10:36:01","+26.2616"
"2020/9/21 10:36:21","+26.2616"
"2020/9/21 10:36:41","+26.2616"
"2020/9/21 10:37:01","+26.2616"
"2020/9/21 10:37:21","+26.2616"
"2020/9/21 10:37:41","+26.2616"
"2020/9/21 10:38:01","+26.2616"
"2020/9/21 10:38:21","+26.2616"
"2020/9/21 10:38:41","+26.2616"
"2020/9/21 10:39:01","+26.2616"
"2020/9/21 10:39:21","+26.2616"
"2020/9/21 10:39:41","+26.2616"
"2020/9/21 10:40:01","+26.2616"
"2020/9/21 10:40:21","+26.2616"
